Number,URL,Title
0,https:/photos-index-aid-99034.html,https:[final個人漢化] (例大祭12) [七転八起 (kinntarou)] 美咲調教日記 (東方Project)
1,https:/photos-index-aid-99015.html,https:[焼酎MAC (ほずみけんじ)] 調教受精済み母娘寝取られ記録 [中国翻訳] [DL版]
2,https:/photos-index-aid-98981.html,https:調教週姦 ～男嫌いな生意気水泳部エースがきもデブ顧問に脅され堕ちるまで～
3,https:/photos-index-aid-98889.html,https:[Doushia (Terasu MC)] Cosplayer Kanojo NTR Manga (Various) [Digital] [ドーシア (テラスMC)] コスプレイヤー彼女NTR漫画 (よろず) [Chinese] [無邪気漢化組]
4,https:/photos-index-aid-98888.html,https:[ヨールキ・パールキ (露々々木もげら)] L教会と異端者一家+【おまけ】(澄木个人汉化)
5,https:/photos-index-aid-98635.html,https:(C97) [Sugar_Berry_Syrup (Crowe)] Indeki no Reijou 4.5 ~ Higyaku no kyoshitsu ~ [Chinese] [绅士仓库汉化]
6,https:/photos-index-aid-98550.html,https:(C97) [Sugar Berry Syrup (クロエ)] 淫溺の令嬢4～彼の隣で漏れる淫声～ [中国翻訳]
7,https:/photos-index-aid-98459.html,https:(C97) [AHOBAKA (Aho)] 異世界転生したクズチートに僕の恋人な姉が寝取られるなんて…冒険者編
8,https:/photos-index-aid-98217.html,https:[影之音个人汉化] [あいいろさくら (相川りょう)] 空母ヲ級ちゃんの天津風百合奴隷調教～快楽堕ち編～(艦隊これくしょん -艦これ-) [DL版]
9,https:/photos-index-aid-98155.html,https:(C97) [テングサ (tokorot)]  お父さんのおなほーる  中文翻譯
10,https:/photos-index-aid-98089.html,https:[不咕鸟x这很恶堕汉化组] [けーきやさん (けーき)] ユイの悪堕ちNTR日記 (プリンセスコネクト!Re:Dive) [DL版]
11,https:/photos-index-aid-98086.html,https:[final個人漢化] (CSP6) [世渡工場 (ジェット世渡り)] 冴えない彼女の調教えかた (冴えない彼女の育てかた)
12,https:/photos-index-aid-98071.html,https:(C93) [ハニーバニー (こはち)] 学園の王子様にメス調教することを強いられています! [中国翻訳]
13,https:/photos-index-aid-97971.html,https:[魚山ケイジ] カーテンの向こう側で (COMIC BAVEL 2020年3月号) [中国翻訳] [DL版]
14,https:/photos-index-aid-97854.html,https:[サポットノーズ] 幼馴染が催眠術で調教されていた
15,https:/photos-index-aid-97841.html,https:[しまじや (しまじ)] 歩音ちゃん調教日誌Vol.3-学校えっち編- [中国翻訳] [DL版]
16,https:/photos-index-aid-97816.html,https:(C95) [CAT GARDEN (ねこてゐ)] 催眠淫紋調教言いなりアビーちゃん with アナちゃん (Fate Grand Order) [中国翻訳] [無修正]
17,https:/photos-index-aid-97694.html,https:[长安街汉化组汉化] (C96) [もなかうどん (モニカノ)] 駆逐艦 浜風 尋問調書 (艦隊これくしょん-艦これ-)
18,https:/photos-index-aid-97331.html,https:[山樱汉化] (C97) [AmazingSweets (はるいちご)] 犬耳娘調教物語
19,https:/photos-index-aid-97236.html,https:[篆儀通文書坊漢化][あたげ] 都合が良くて可愛いメス。
20,https:/photos-index-aid-97093.html,https:[B-RIVER] 未亡人・上城美咲の淫辱 －母娘牝穴・堕落調教
21,https:/photos-index-aid-96944.html,https:[ほーすている] 母さんじゃなきゃダメなんだっ！！1-6+CG
22,https:/photos-index-aid-96932.html,https:[禁漫漢化組] [Digital] [DOZA Village (どざむら)] わいせつクリニック [中国翻訳] [DL版]
23,https:/photos-index-aid-96866.html,https:[靴下汉化组] (C97) [もなかうどん (モニカノ)] 戦艦 大和 尋問調書 (艦隊これくしょん-艦これ-)
24,https:/photos-index-aid-96838.html,https:[假期限定萌豚个人汉化][しまじや (しまじ)] 歩音ちゃん調教日誌Vol.2-お部屋えっち編-
25,https:/photos-index-aid-96819.html,https:[4K漢化組][大嘘] オナホ教室 ～女子全員妊娠計画～
26,https:/photos-index-aid-96716.html,https:[新桥月白日语社][緑のルーペ] ガールズ・オン・ザ・ブルーフィルム
27,https:/photos-index-aid-96582.html,https:[如若昇天個人漢化] [ミルクフォース] おとなりNTR 後編 [DL版]
28,https:/photos-index-aid-96522.html,https:[空気系☆漢化] [かすてるら (しまシュー)] 強気な姫様 潜入捜査で身体検査されるも正体がバレてはいけないので抵抗できない
29,https:/photos-index-aid-96360.html,https:[瑞树汉化] [あむぁいおかし製作所] オレの調教係
30,https:/photos-index-aid-96353.html,https:[不咕鸟汉化组] [ブリッツクリーク (電池)] 初めての寝取られマゾ化調教6
31,https:/photos-index-aid-96244.html,https:[サイクロン (和泉、冷泉)] みだれうち 2[钢华团汉化组]
32,https:/photos-index-aid-96069.html,https:[lvlvbubu个人汉化] (C89) [Rip@Lip (水原優)] サグラレ堕メ
33,https:/photos-index-aid-96050.html,https:[不咕鸟汉化组] [DOLL PLAY (黒巣ガタリ)] ワイルド式日本人妻の寝取り方 其ノ一 [中国翻訳]
34,https:/photos-index-aid-95993.html,https:[不咕鸟x这很恶堕汉化组] (C97) [イカめし食堂 (イカめし)] レズ淫魔の淫紋快楽調教2
35,https:/photos-index-aid-95948.html,https:[綾枷家の猫 (綾枷ちよこ、綾枷りべり)] 万引き人妻総集編 [中国翻訳] [DL版]
36,https:/photos-index-aid-95881.html,https:[milkholic] ネトラレ卒業旅行 [lavie汉化]
37,https:/photos-index-aid-95742.html,https:[山樱汉化] [たんぽぽ水産+Ziggurat (INAGO)] 夏休みの自由研究 りこ調教2回目～野外で絶頂させてみよう!～【フルカラー版】 [中国翻訳]
38,https:/photos-index-aid-95637.html,https:[ゼロの者] ギリギリ (コミック刺激的SQUIRT!! Vol.03) [中国翻訳] [DL版]
39,https:/photos-index-aid-95528.html,https:[無邪気漢化組] [A極振り (Sian)] メス共の4ページ調教記録集 [DL版]
40,https:/photos-index-aid-95524.html,https:[如若昇天個人漢化] [ミルクフォース] おとなりNTR 前編 [DL版]
41,https:/photos-index-aid-95496.html,https:(C79) [少女架刑 (inkey、和泉万夜)] ジル・バレンタイン調教記録 (バイオハザード) [英訳]
42,https:/photos-index-aid-95290.html,https:[如若昇天個人漢化] [うらのひきだし (ニジィー)] 単位不足で進級できない!?生意気な教え子ギャルをえっちで補填! [中国翻訳]
